,sensor mode,resolution,codec,sampling,framerate,160GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 12
0,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,240p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
1,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,200p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
2,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,120p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
3,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,100p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
4,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,60p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
5,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,50p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
6,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,30p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
7,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,25p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
8,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,24p,265 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
9,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,120p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
10,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,100p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
11,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,60p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
12,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,50p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
13,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,30p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
14,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,25p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
15,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,24p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
16,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,240p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
17,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,200p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
